time,P_prod
0.0,0.0000
1.0,0.0000
2.0,0.0000
3.0,0.0000
4.0,0.0000
5.0,0.0000
6.0,0.0000
7.0,0.2444
8.0,0.4436
9.0,0.6279
10.0,0.7406
11.0,0.9246
12.0,0.9665
13.0,0.9061
14.0,0.8079
15.0,0.6498
16.0,0.4890
17.0,0.2412
18.0,0.0000
19.0,0.0000
20.0,0.0000
21.0,0.0000
22.0,0.0000
23.0,0.0000
24.0,0.0000
25.0,0.0000
26.0,0.0000
27.0,0.0000
28.0,0.0000
29.0,0.0000
30.0,0.0000
31.0,0.2339
32.0,0.3473
33.0,0.1537
34.0,0.1751
35.0,0.2736
36.0,0.6101
37.0,0.7995
38.0,0.6060
39.0,0.4200
40.0,0.1652
41.0,0.0296
42.0,0.0000
43.0,0.0000
44.0,0.0000
45.0,0.0000
46.0,0.0000
47.0,0.0000
48.0,0.0000
49.0,0.0000
50.0,0.0000
51.0,0.0000
52.0,0.0000
53.0,0.0000
54.0,0.0000
55.0,0.0556
56.0,0.1384
57.0,0.2723
58.0,0.2334
59.0,0.2310
60.0,0.1658
61.0,0.1550
62.0,0.0866
63.0,0.0139
64.0,0.0307
65.0,0.0181
66.0,0.0000
67.0,0.0000
68.0,0.0000
69.0,0.0000
70.0,0.0000
71.0,0.0000
72.0,0.0000
73.0,0.0000
74.0,0.0000
75.0,0.0000
76.0,0.0000
77.0,0.0000
78.0,0.0000
79.0,0.0536
80.0,0.0440
81.0,0.2079
82.0,0.3800
83.0,0.1430
84.0,0.5227
85.0,0.8516
86.0,0.8235
87.0,0.6278
88.0,0.3146
89.0,0.2109
90.0,0.0000
91.0,0.0000
92.0,0.0000
93.0,0.0000
94.0,0.0000
95.0,0.0000
96.0,0.0000
97.0,0.0000
98.0,0.0000
99.0,0.0000
100.0,0.0000
101.0,0.0000
102.0,0.0000
103.0,0.1953
104.0,0.2196
105.0,0.6023
106.0,0.6247
107.0,0.4911
108.0,0.8791
109.0,0.9331
110.0,0.8618
111.0,0.7039
112.0,0.4709
113.0,0.2567
114.0,0.0000
115.0,0.0000
116.0,0.0000
117.0,0.0000
118.0,0.0000
119.0,0.0000
120.0,0.0000
121.0,0.0000
122.0,0.0000
123.0,0.0000
124.0,0.0000
125.0,0.0000
126.0,0.0000
127.0,0.2290
128.0,0.4568
129.0,0.6428
130.0,0.6303
131.0,0.7636
132.0,0.5957
133.0,0.5644
134.0,0.3606
135.0,0.4198
136.0,0.3519
137.0,0.1603
138.0,0.0000
139.0,0.0000
140.0,0.0000
141.0,0.0000
142.0,0.0000
143.0,0.0000
144.0,0.0000
145.0,0.0000
146.0,0.0000
147.0,0.0000
148.0,0.0000
149.0,0.0000
150.0,0.0000
151.0,0.2157
152.0,0.3141
153.0,0.2881
154.0,0.3487
155.0,0.2664
156.0,0.5792
157.0,0.3021
158.0,0.1215
159.0,0.0920
160.0,0.0576
161.0,0.1497
162.0,0.0000
163.0,0.0000
164.0,0.0000
165.0,0.0000
166.0,0.0000
167.0,0.0000
168.0,0.0000
169.0,0.0000
170.0,0.0000
171.0,0.0000
172.0,0.0000
173.0,0.0000
174.0,0.0000
175.0,0.1482
176.0,0.1843
177.0,0.1751
178.0,0.1787
179.0,0.2507
180.0,0.2333
181.0,0.0769
182.0,0.0565
183.0,0.0039
184.0,0.0242
185.0,0.0029
186.0,0.0000
187.0,0.0000
188.0,0.0000
189.0,0.0000
190.0,0.0000
191.0,0.0000
192.0,0.0000
193.0,0.0000
194.0,0.0000
195.0,0.0000
196.0,0.0000
197.0,0.0000
198.0,0.0000
199.0,0.2544
200.0,0.4646
201.0,0.6004
202.0,0.8066
203.0,0.9110
204.0,0.9505
205.0,0.6149
206.0,0.5235
207.0,0.2890
208.0,0.2467
209.0,0.1220
210.0,0.0000
211.0,0.0000
212.0,0.0000
213.0,0.0000
214.0,0.0000
215.0,0.0000
216.0,0.0000
217.0,0.0000
218.0,0.0000
219.0,0.0000
220.0,0.0000
221.0,0.0000
222.0,0.0000
223.0,0.1360
224.0,0.0957
225.0,0.1799
226.0,0.2875
227.0,0.4033
228.0,0.2998
229.0,0.2770
230.0,0.0831
231.0,0.0638
232.0,0.0406
233.0,0.0498
234.0,0.0000
235.0,0.0000
236.0,0.0000
237.0,0.0000
238.0,0.0000
239.0,0.0000
